country,year,indicator,value,country_name,indicator_code,description,unit,frequency,transformation,source,retrieved_at
CHN,2021,EXPORTS_PERCENT_GDP,19.5262422245091,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2022,EXPORTS_PERCENT_GDP,20.2977316914005,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2023,EXPORTS_PERCENT_GDP,19.102471716101,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2024,EXPORTS_PERCENT_GDP,20.0229166362049,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,2025,EXPORTS_PERCENT_GDP,,China,NE.EXP.GNFS.ZS,Exports of goods and services percentage of GDP,percent,annual,none,world_bank,2026-05-13T21:09:55.868266+00:00
CHN,1960,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1961,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1962,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1963,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1964,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1965,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1966,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1967,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1968,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1969,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1970,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1971,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1972,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1973,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1974,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1975,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1976,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1977,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1978,FDI_NET_INFLOWS,,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1979,FDI_NET_INFLOWS,4.47993767043241e-05,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1980,FDI_NET_INFLOWS,0.0297669560676284,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1981,FDI_NET_INFLOWS,0.135053693854026,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1982,FDI_NET_INFLOWS,0.20926517571885,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1983,FDI_NET_INFLOWS,0.275169498549523,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1984,FDI_NET_INFLOWS,0.483023421644452,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1985,FDI_NET_INFLOWS,0.535049748242083,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1986,FDI_NET_INFLOWS,0.622282399569032,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1987,FDI_NET_INFLOWS,0.846208214101229,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1988,FDI_NET_INFLOWS,1.02080965909091,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1989,FDI_NET_INFLOWS,0.973934921557234,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1990,FDI_NET_INFLOWS,0.964431294157465,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1991,FDI_NET_INFLOWS,1.13546978147697,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1992,FDI_NET_INFLOWS,2.60348627617638,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1993,FDI_NET_INFLOWS,6.16158341638819,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1994,FDI_NET_INFLOWS,5.95964712479176,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1995,FDI_NET_INFLOWS,4.85635899646063,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1996,FDI_NET_INFLOWS,4.62623979720429,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1997,FDI_NET_INFLOWS,4.69530688267996,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1998,FDI_NET_INFLOWS,4.40097362165008,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,1999,FDI_NET_INFLOWS,3.71556393762674,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,2000,FDI_NET_INFLOWS,3.43984725315719,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,2001,FDI_NET_INFLOWS,3.47245235578959,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
CHN,2002,FDI_NET_INFLOWS,3.56241418263928,China,BX.KLT.DINV.WD.GD.ZS,Foreign direct investment net inflows percentage GDP,percent,annual,none,world_bank,2026-05-13T21:09:57.134689+00:00
